kdbRecvTime,x
2023-03-02D20:47:12.250000000,4948
2023-03-02D20:47:12.500000000,5917
2023-03-02D20:47:12.750000000,9816
2023-03-02D20:47:13.000000000,8265
2023-03-02D20:47:13.250000000,4899
2023-03-02D20:47:13.500000000,7063
2023-03-02D20:47:13.750000000,4349
2023-03-02D20:47:14.000000000,5073
2023-03-02D20:47:14.250000000,4700
2023-03-02D20:47:14.500000000,5742
2023-03-02D20:47:14.750000000,4729
2023-03-02D20:47:15.000000000,7485
2023-03-02D20:47:15.250000000,5012
2023-03-02D20:47:15.500000000,4965
2023-03-02D20:47:15.750000000,3896
2023-03-02D20:47:16.000000000,10299
2023-03-02D20:47:16.250000000,3705
2023-03-02D20:47:16.500000000,4603
2023-03-02D20:47:16.750000000,8566
2023-03-02D20:47:17.000000000,4250
2023-03-02D20:47:17.250000000,7881
2023-03-02D20:47:17.500000000,27699
2023-03-02D20:47:17.750000000,18586
2023-03-02D20:47:18.000000000,6439
2023-03-02D20:47:18.250000000,8127
2023-03-02D20:47:18.500000000,6672
2023-03-02D20:47:18.750000000,12722
2023-03-02D20:47:19.000000000,26909
2023-03-02D20:47:19.250000000,8593
2023-03-02D20:47:19.500000000,9400
2023-03-02D20:47:19.750000000,15214
2023-03-02D20:47:20.000000000,12545
2023-03-02D20:47:20.250000000,5836
2023-03-02D20:47:20.500000000,9241
2023-03-02D20:47:20.750000000,7110
2023-03-02D20:47:21.000000000,13515
2023-03-02D20:47:21.250000000,8186
2023-03-02D20:47:21.500000000,4452
2023-03-02D20:47:21.750000000,5126
2023-03-02D20:47:22.000000000,9034
2023-03-02D20:47:22.250000000,4284
2023-03-02D20:47:22.500000000,4894
2023-03-02D20:47:22.750000000,9091
2023-03-02D20:47:23.000000000,9163
2023-03-02D20:47:23.250000000,6157
2023-03-02D20:47:23.500000000,7691
2023-03-02D20:47:23.750000000,8816
2023-03-02D20:47:24.000000000,10829
2023-03-02D20:47:24.250000000,14367
2023-03-02D20:47:24.500000000,6606
2023-03-02D20:47:24.750000000,4358
2023-03-02D20:47:25.000000000,11361
2023-03-02D20:47:25.250000000,7307
2023-03-02D20:47:25.500000000,4154
2023-03-02D20:47:25.750000000,4983
2023-03-02D20:47:26.000000000,14791
2023-03-02D20:47:26.250000000,7337
2023-03-02D20:47:26.500000000,6221
2023-03-02D20:47:26.750000000,10015
2023-03-02D20:47:27.000000000,8562
2023-03-02D20:47:27.250000000,4489
2023-03-02D20:47:27.500000000,6895
2023-03-02D20:47:27.750000000,3393
2023-03-02D20:47:28.000000000,4928
2023-03-02D20:47:28.250000000,11084
2023-03-02D20:47:28.500000000,3428
2023-03-02D20:47:28.750000000,3328
2023-03-02D20:47:29.000000000,7779
2023-03-02D20:47:29.250000000,3979
